filename,width,height,class,xmin,ymin,xmax,ymax,encoded_labels
01F3MMWK2WKFGMNCB4VC9D4CHD_jpeg.rf.78e6794cd94ff2ab6e3313a0dcca7ddc.jpg,416,316,blackheads,395,256,416,272,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,119,275,132,286,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,97,303,108,312,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,119,308,141,325,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,92,312,99,322,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,170,312,180,324,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,197,321,210,332,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,98,323,107,331,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,152,325,165,338,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,255,390,265,403,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,250,405,262,415,0
levle0_470_jpg.rf.68ccc6e4f98b3c4d35ed8a583e382f12.jpg,376,416,blackheads,49,238,65,254,0
levle0_68_jpg.rf.c1e75e4a297be73c29613b58e0a0d9d9.jpg,416,276,blackheads,116,234,130,245,0
levle1_535_jpg.rf.9b775411066cbef505a184a5ab7dd2f3.jpg,376,416,blackheads,202,281,215,294,0
levle1_535_jpg.rf.9b775411066cbef505a184a5ab7dd2f3.jpg,376,416,blackheads,214,293,227,307,0
levle1_535_jpg.rf.9b775411066cbef505a184a5ab7dd2f3.jpg,376,416,blackheads,193,323,206,335,0
levle3_24_jpg.rf.e8bf888d09172b3f0640badb4efa79ff.jpg,416,314,blackheads,185,176,211,190,0
levle3_24_jpg.rf.e8bf888d09172b3f0640badb4efa79ff.jpg,416,314,blackheads,133,157,155,173,0
levle1_50_jpg.rf.9d74f05dcf68b60f532872c8d84ee2ef.jpg,374,416,blackheads,119,352,129,362,0
levle3_24_jpg.rf.e8bf888d09172b3f0640badb4efa79ff.jpg,416,314,blackheads,220,141,242,160,0
levle3_24_jpg.rf.e8bf888d09172b3f0640badb4efa79ff.jpg,416,314,blackheads,99,100,117,118,0
levle3_24_jpg.rf.e8bf888d09172b3f0640badb4efa79ff.jpg,416,314,blackheads,124,97,142,118,0
levle3_24_jpg.rf.e8bf888d09172b3f0640badb4efa79ff.jpg,416,314,blackheads,203,62,225,80,0
levle1_50_jpg.rf.9d74f05dcf68b60f532872c8d84ee2ef.jpg,374,416,blackheads,120,362,132,372,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,182,274,195,286,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,222,272,232,281,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,231,262,237,269,0
levle1_522_jpg.rf.9b2a2d5cb6ab347fd48ab4a77207844d.jpg,376,416,blackheads,127,246,138,258,0
01F3MMWG8FVBE4Y7CBX1WD0A5S_jpeg.rf.95b2e53fd96102e8ea34418e543e1747.jpg,416,316,blackheads,321,260,345,282,0
01F3MMWG8FVBE4Y7CBX1WD0A5S_jpeg.rf.95b2e53fd96102e8ea34418e543e1747.jpg,416,316,blackheads,200,29,229,54,0
01F3MMWG8FVBE4Y7CBX1WD0A5S_jpeg.rf.95b2e53fd96102e8ea34418e543e1747.jpg,416,316,blackheads,160,82,189,110,0
levle1_0_jpg.rf.c0e5d7520d61bbc4c1f5160e4446fe49.jpg,312,416,blackheads,229,357,247,372,0
levle0_399_jpg.rf.968778a7ff5f8dc66de3fc0ea245b3fb.jpg,376,416,blackheads,145,175,151,181,0
levle1_0_jpg.rf.c0e5d7520d61bbc4c1f5160e4446fe49.jpg,312,416,blackheads,154,235,175,261,0
levle0_441_jpg.rf.696982a093f386ec4a6ace3dca9011c5.jpg,374,416,blackheads,200,292,216,307,0
levle0_399_jpg.rf.968778a7ff5f8dc66de3fc0ea245b3fb.jpg,376,416,blackheads,147,190,154,195,0
01F3MMXQ085C2RDJEHNDX2FMKE_jpeg.rf.e9644cb4ae44aac8dec165e8977f0668.jpg,416,316,blackheads,202,41,228,59,0
levle0_399_jpg.rf.968778a7ff5f8dc66de3fc0ea245b3fb.jpg,376,416,blackheads,147,196,156,201,0
levle1_589_jpg.rf.c07849a2d7d852f6e2d475643f66633b.jpg,374,416,blackheads,283,328,292,342,0
01F3MMVC4SSD2BWWP115BMSB3Q_jpeg.rf.9cfd8304d12e167d62ca298df2e43bc9.jpg,416,316,blackheads,225,135,243,150,0
levle0_399_jpg.rf.968778a7ff5f8dc66de3fc0ea245b3fb.jpg,376,416,blackheads,159,196,166,201,0
